#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Unaligned	10830	9968	9967	10596	8197	12179	7143	9102	7790	9796	11685	5570	3813	8583	8412	5764	7271	5512	6420	12252	14322	9802	9965	11385	12394	11380	14651	14924	9902	9053	2980	1394	15895	12697	15215	784	15245	821	11092	3846	3950	3896	5136	6093	7596	6154	4679	6200	6339	5175	1105	8004	6788	8721	9708	12614	11778	11404	8111	8223	8567	8954	907	3769	4037	866	7939	5531	371	7500	2208	5773	4383	6876	4613
root__Root;domain__Eukaryota	10820	10332	11862	11217	8603	16297	6272	12334	6676	10602	15855	4325	4367	9593	8266	1761	2435	2291	3366	19323	24675	23783	15398	20840	23708	18075	25504	26621	21582	16403	6045	3040	25059	24140	23416	1555	26218	1684	22695	3489	4021	4329	6043	7762	9314	7009	5827	7423	7988	5917	1232	5072	2546	3346	5693	5180	6226	6833	2081	3708	3294	2509	381	2181	1463	634	4536	4286	376	6298	1878	5793	4819	5705	4891
root__Root;domain__Bacteria	41514	40075	39154	33092	33980	49927	36528	45302	34932	38626	51340	29377	17204	36648	35545	36625	41226	35903	38331	40653	52240	25058	37906	39996	40714	42045	48520	47403	30902	31014	10052	4043	53173	47598	57167	2459	51324	2221	39179	36577	39212	33747	35375	43164	43398	35707	35563	32287	38860	33249	6671	51148	64747	59812	62865	79725	77366	95531	77407	67031	92680	86238	6049	83991	94319	18705	54875	44533	2519	49562	32252	51601	50478	42795	42357
root__Root;domain__Archaea	1	1	0	1	0	2	14	7	9	7	7	8	1	4	2	26	9	1	10	8	16	3	23	16	12	29	11	0	18	10	6	1	30	38	17	1	37	1	22	7	7	6	17	18	10	15	10	4	23	3	0	169	219	213	166	191	149	262	326	194	119	149	13	10	9	0	2	2	2	2	1	2	6	115	63
