sample_name	sample_title	bioproject_accession	organism	collection_date	treatment	replicate	depth	elev	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	alkalinity	alkyl_diethers	altitude	aminopept_act	ammonium	bacteria_carb_prod	biomass	bishomohopanol	bromide	calcium	carb_nitro_ratio	chem_administration	chloride	chlorophyll	collection_method	diether_lipids	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_org_carb	diss_org_nitro	diss_oxygen	glucosidase_act	isolation_source	magnesium	mean_frict_vel	mean_peak_frict_vel	methane	misc_param	n_alkanes	neg_cont_type	nitrate	nitrite	nitro	omics_observ_id	org_carb	org_matter	org_nitro	organism_count	oxy_stat_samp	part_org_carb	perturbation	petroleum_hydrocarb	ph	phaeopigments	phosphate	phosplipid_fatt_acid	pos_cont_type	potassium	pressure	redox_potential	ref_biomaterial	rel_to_oxygen	salinity	samp_collect_device	samp_mat_process	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	silicate	size_frac	sodium	source_material_id	sulfate	sulfide	temp	tot_carb	tot_nitro	tot_org_carb	turbidity	water_content	description
A12			biofilm metagenome	2019-07-15	WW10	R4	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW10_R4_DNA_Dfinal
A13			biofilm metagenome	2019-07-15	WW80	R1	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW80_R1_DNA_Dfinal
A14			biofilm metagenome	2019-07-15	WW10	R2	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW10_R2_DNA_Dfinal
A15			biofilm metagenome	2019-07-15	WW00	R3	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW00_R3_DNA_Dfinal
A16			biofilm metagenome	2019-07-15	WW30	R4	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW30_R4_DNA_Dfinal
A17			wastewater metagenome	2019-06-24	BT_WW	not applicable	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	wastewater treatment plant[ENVO:00002043]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										BT_WW_DNA_W1
A18			wastewater metagenome	2019-07-01	BT_WW	not applicable	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	wastewater treatment plant[ENVO:00002043]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										BT_WW_DNA_W2
A19			wastewater metagenome	2019-07-08	BT_WW	not applicable	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	wastewater treatment plant[ENVO:00002043]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										BT_WW_DNA_W3
A20			wastewater metagenome	2019-07-15	BT_WW	not applicable	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	wastewater treatment plant[ENVO:00002043]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										BT_WW_DNA_W4
C141			biofilm metagenome	2020-03-09	WW30	R1	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW30_R1_DNA_D29
C142			biofilm metagenome	2020-03-09	WW80	R1	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW80_R1_DNA_D29
C143			biofilm metagenome	2020-03-09	WW80UF	R1	0 m	440 m	freshwater biome[ENVO_00000873]	not applicable	biofilm[ENVO:00002034]	Switzerland:Duebendorf	47.40 N, 8.61 E																																																																										WW80UF_R1_DNA_D29
