#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Bacteria;phylum__Nitrospinota	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	3	11	1	7	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__NB1-j	6	1	5	3	5	9	0	21	2	9	19	0	5	11	10	0	0	0	0	8	2	2	12	10	2	21	7	4	0	4	1	0	24	27	2	0	11	0	13	0	0	0	0	0	0	0	0	0	0	1	0	26	8	8	11	11	20	35	6	3	4	4	2	1	0	0	1	9	0	7	0	6	2	13	6
root__Root;domain__Bacteria;phylum__Myxococcota	784	1693	549	444	773	705	2027	891	1341	781	794	1472	312	813	961	2040	3468	2909	2459	1033	952	70	448	461	898	421	174	140	1138	799	91	166	293	599	273	63	550	68	398	872	824	799	907	1129	1003	1038	1047	1045	1286	1223	269	371	250	267	333	361	424	467	216	232	177	254	23	17	17	0	89	90	4	102	49	59	50	47	35
root__Root;domain__Bacteria;phylum__Modulibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Methylomirabilota	1	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	2	2	1	2	5	5	0	3	0	0	7	4	6	0	7	2	4	0	0	0	0	0	0	0	0	0	0	0	0	26	31	56	32	49	27	15	17	28	23	21	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__MarinimicrobiaSAR406clade	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Margulisbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__MBNT15	1	0	0	0	0	0	0	1	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	9	14	8	8	7	8	6	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Latescibacterota	5	4	1	2	3	1	15	2	4	3	0	5	3	0	2	6	10	8	17	4	0	1	8	3	0	10	1	0	0	1	4	0	4	2	3	0	7	0	0	3	6	4	0	4	3	3	0	2	0	5	1	16	11	25	38	6	9	31	4	4	3	10	0	0	0	0	0	0	0	0	0	1	1	1	5
root__Root;domain__Bacteria;phylum__LCP-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
