sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
C151,0.044443878541700003,5.48597502058e-5,5.8759935572e-4,0.1257218685,0.0395196647384,0,0.00739270300529,0.00652530426078,0,0,0,0,3.77006102918e-4,0.0223192210563,0,0.00420652782618,0.0292696740558,1.23859071679,0,9.79332259533e-5,0.00456617872761,0,0,0.0195708899368,0,6.43814802642e-4,0,0,7.91712816128e-4,4.64276034149e-4,0,0,0,0,0.0362692437877,0.00249783932764,0,0.0128112941844,8.84243567114e-4,0.0333766047126
C152,0.0289285916301,0,6.32812941908e-4,0.0996923773099,0.00378000263967,0,0,0.00332876944785,0,0,0,0,0,0.0177805002214,0,0.00181208180233,0.0258979772689,0.792237395344,0,0,0.00278350709843,0,0,0.00258510818822,0,0,0,0,3.41052869744e-4,2.50000174581e-4,0,8.5649606639e-4,0,0,0.0149210630513,0.0031484120926,0,0.00356479466542,0,0.00942673072084
C153,0.0252192596245,0,0,0.0695104268772,0.127869288496,0,0.00523196761441,0.0135764952186,0,0,0,0,0,0.0243860734418,0,0.00456480395888,0.034952450313,1.67622604531,0,0,0.00210357460786,0,0,0.0383902365934,0,0,0,0,0.00505066180599,6.29773879513e-4,6.16455398677e-4,0,0,0,0.109182903111,0.00432607922888,0,0.0254434806481,0.00127000043752,0.0262882299154
C154,0.020641248307,0,3.63070202768e-5,0.0995339006866,0.00395020380611,0,9.46671936105e-4,0.00297390732036,0,0,0,0,2.09652568215e-4,0.0170023119345,0,0.00336528518979,0.0131375556448,0.753229264453,0,1.36151326038e-5,0.00313812430928,0,0,0.0053539754437,0,0,0,0,3.22864955051e-4,8.60610851005e-5,0,0,6.9498876276e-4,0,0.0114959491571,0.00108382228727,5.18286088709e-5,0.00214752917979,2.1977372668e-4,0.020442411613
C155,0.0246856678322,0,7.4435950152e-5,0.120929789785,0.00569596835946,0,0.0018322695422,0.00201370366908,0,0,3.01512709477e-4,0,4.29825636968e-4,0.0170106116718,0,0.00383669863871,0.0439208416117,0.864773362777,0,2.7913481307e-5,0.00353609132269,0,0,0.00715891492797,0,0,0,0,3.53755010624e-4,1.76440770731e-4,0,0,3.45418789829e-4,0,0.0129578102025,0.00242403433428,0,0.00426305060235,0.00100812838712,0.0268298217382
C156,0.0156485835907,2.99393203988e-5,2.8504727963e-4,0.158223166908,0.00679552714637,0,0.0029820330792,0.0031327309636,0,0,0,0,3.08622618547e-4,0.0283990518983,0,0.00113253684256,0.0146123330537,0.978402283597,0,0,0.00399653917831,0,0,0.00540287055796,0,0,0,0,0.00302450166176,8.44584532236e-5,0,0,0.00227348887681,0,0.0130821698862,0.00425455727617,0,0.00344565709166,4.04402051889e-4,0.0328206585527
C157,0.0167171427428,0,0,0.0499677233631,0.0638184256286,0,0,0.0295263819873,0,0,0,0,0,0.0134669108088,0,0.00290640001664,0.00576550654189,0.992889345159,0,0,0.00279029383041,0,0,0.0318093496667,0,0,0,0,0.00321574457287,0,0,0,0,0,0.0455845897347,0.00114766855781,0,0.0151505633521,0,0.00839974659982
C158,0.0213102465408,0,0,0.101201433185,0.00503272320563,0,0.00215262716995,0.00194161532675,0,0,9.66081238527e-5,0,3.44302636889e-4,0.0135142983791,0,0.00201472243972,0.0350641919716,0.73742930048,0,0,0.0045897158497,7.67039375313e-5,2.33039443797e-5,0.00471596000569,0,0,0,0,2.12987212587e-4,1.64889791637e-4,0,0,4.1503550489e-4,0,0.01352344246,7.01176983722e-4,0,0.00335884479507,9.18378471977e-4,0.015961073686
C159,0.0111199765487,0,0,0.0677178059053,0.101441273246,0,0,0.0151947624757,0,0,0,0,0,0.0144288476192,0,0.00165431418453,0.0152562299615,1.30381725033,0,0,0.00254116302572,0,0,0.0333527647126,0,0,0,0,9.1519608971e-4,0,0,0,0,0,0.100543121294,0.00136435136621,0,0.029832259824,3.64275093835e-4,0.0143433318198
C160,0.0255361189636,8.87130844458e-5,2.11155622874e-4,0.127046073226,0.00466231615305,0,0.0019656668893,0.00297518685849,0,0,0,0,4.37502297753e-4,0.019677643997,0,0.00231279178879,0.0332534518,0.92597297357,0,1.97958396444e-5,0.00376161769408,0,0,0.00555875862775,0,0,0,0,3.84080964553e-4,1.87693886999e-4,0,0,0.00104110566927,0,0.0181371566595,0.00179071906324,0,0.00938469434994,5.46726592005e-4,0.0170312918833
